state,action,reward
[ 95.   1.   0.   0. 100.],None,None
[ 95.   1.   0.   0. 100.],3,-200
[ 95.   1.   0.   0. 100.],2,0
[ 95.   1.   0.   0. 100.],2,-200
[ 95.   1.   0.   0. 100.],2,0
[ 96.   0.   0.   0. 100.],4,2
[ 96.   0.   0.   0. 100.],3,2
[ 96.   0.   0.   0. 100.],4,2
[ 96.   0.   0.   0. 100.],3,2
[ 96.   0.   0.   0. 100.],3,2
[ 95.   0.   0.   0. 100.],2,2
[ 95.   0.   0.   0. 100.],2,2
[ 95.   0.   0.   0. 100.],2,2
[ 95.   1.   0.   0. 100.],2,2
[ 95.   1.   0.   0. 100.],3,-200
[ 95.   1.   0.   0. 100.],4,0
[ 95.   1.   0.   0. 100.],4,-200
[ 95.   1.   0.   0. 100.],3,0
[ 95.   1.   0.   0. 100.],2,-200
[ 95.   0.   0.   0. 100.],2,2
[ 95.   0.   0.   0. 100.],2,2
[ 95.   0.   0.   0. 100.],1,5
[ 95.   0.   0.   0. 100.],4,2
[ 95.   0.   0.   0. 100.],4,2
[ 95.   0.   0.   0. 100.],2,2
[ 95.   0.   0.   0. 100.],3,2
[ 95.   0.   0.   0. 100.],2,2
[ 95.   0.   0.   0. 100.],1,5
[ 95.   1.   0.   0. 100.],2,2
[ 95.   1.   0.   0. 100.],1,5
[ 95.   1.   0.   0. 100.],2,0
[ 95.   1.   0.   0. 100.],1,5
[ 95.   1.   0.   0. 100.],4,0
[ 95.   1.   0.   0. 100.],4,-200
[ 95.   1.   0.   0. 100.],4,0
[ 95.   1.   0.   0. 100.],3,-200
[ 95.   1.   0.   0. 100.],2,0
[ 95.   1.   0.   0. 100.],3,-200
[ 95.   1.   0.   0. 100.],2,0
[ 95.   1.   0.   0. 100.],4,-200
[ 95.   1.   0.   0. 100.],2,0
[ 95.   1.   0.   0. 100.],1,5
[ 95.   1.   0.   0. 100.],3,-200
[ 95.   1.   0.   0. 100.],2,-200
[ 95.   1.   0.   0. 100.],3,-200
[ 95.   1.   0.   0. 100.],3,-200
[ 95.   1.   0.   0. 100.],2,-200
[ 95.   1.   0.   0. 100.],1,5
[ 95.   1.   0.   0. 100.],2,-200
[ 95.   1.   0.   0. 100.],3,-200
